"Index Name","Date","Open","High","Low","Close"
"NIFTY50 EQUAL WEIGHT","27 Jun 2007","","","","4967.00"
"NIFTY50 EQUAL WEIGHT","26 Jun 2007","","","","4980.90"
"NIFTY50 EQUAL WEIGHT","25 Jun 2007","","","","4964.80"
"NIFTY50 EQUAL WEIGHT","22 Jun 2007","","","","4963.80"
"NIFTY50 EQUAL WEIGHT","21 Jun 2007","","","","4967.90"
"NIFTY50 EQUAL WEIGHT","20 Jun 2007","","","","4930.30"
"NIFTY50 EQUAL WEIGHT","19 Jun 2007","","","","4882.20"
"NIFTY50 EQUAL WEIGHT","18 Jun 2007","","","","4812.00"
"NIFTY50 EQUAL WEIGHT","15 Jun 2007","","","","4842.10"
"NIFTY50 EQUAL WEIGHT","14 Jun 2007","","","","4833.30"
"NIFTY50 EQUAL WEIGHT","13 Jun 2007","","","","4774.30"
"NIFTY50 EQUAL WEIGHT","12 Jun 2007","","","","4816.80"
"NIFTY50 EQUAL WEIGHT","11 Jun 2007","","","","4817.00"
"NIFTY50 EQUAL WEIGHT","08 Jun 2007","","","","4805.50"
"NIFTY50 EQUAL WEIGHT","07 Jun 2007","","","","4867.60"
"NIFTY50 EQUAL WEIGHT","06 Jun 2007","","","","4895.20"
"NIFTY50 EQUAL WEIGHT","05 Jun 2007","","","","4989.60"
"NIFTY50 EQUAL WEIGHT","04 Jun 2007","","","","4968.10"
"NIFTY50 EQUAL WEIGHT","01 Jun 2007","","","","4997.30"
"NIFTY50 EQUAL WEIGHT","31 May 2007","","","","4984.00"
"NIFTY50 EQUAL WEIGHT","30 May 2007","","","","4921.10"
"NIFTY50 EQUAL WEIGHT","29 May 2007","","","","4971.70"
"NIFTY50 EQUAL WEIGHT","28 May 2007","","","","4939.70"
"NIFTY50 EQUAL WEIGHT","25 May 2007","","","","4919.80"
"NIFTY50 EQUAL WEIGHT","24 May 2007","","","","4874.60"
"NIFTY50 EQUAL WEIGHT","23 May 2007","","","","4921.60"
"NIFTY50 EQUAL WEIGHT","22 May 2007","","","","4946.50"
"NIFTY50 EQUAL WEIGHT","21 May 2007","","","","4920.90"
"NIFTY50 EQUAL WEIGHT","18 May 2007","","","","4867.90"
"NIFTY50 EQUAL WEIGHT","17 May 2007","","","","4889.20"
"NIFTY50 EQUAL WEIGHT","16 May 2007","","","","4849.60"
"NIFTY50 EQUAL WEIGHT","15 May 2007","","","","4811.30"
"NIFTY50 EQUAL WEIGHT","14 May 2007","","","","4808.80"
"NIFTY50 EQUAL WEIGHT","11 May 2007","","","","4747.80"
"NIFTY50 EQUAL WEIGHT","10 May 2007","","","","4746.00"
"NIFTY50 EQUAL WEIGHT","09 May 2007","","","","4749.50"
"NIFTY50 EQUAL WEIGHT","08 May 2007","","","","4734.70"
"NIFTY50 EQUAL WEIGHT","07 May 2007","","","","4773.30"
"NIFTY50 EQUAL WEIGHT","04 May 2007","","","","4776.80"
"NIFTY50 EQUAL WEIGHT","03 May 2007","","","","4799.60"
"NIFTY50 EQUAL WEIGHT","30 Apr 2007","","","","4728.90"
"NIFTY50 EQUAL WEIGHT","27 Apr 2007","","","","4715.70"
"NIFTY50 EQUAL WEIGHT","26 Apr 2007","","","","4810.90"
"NIFTY50 EQUAL WEIGHT","25 Apr 2007","","","","4789.30"
"NIFTY50 EQUAL WEIGHT","24 Apr 2007","","","","4750.70"
"NIFTY50 EQUAL WEIGHT","23 Apr 2007","","","","4679.20"
"NIFTY50 EQUAL WEIGHT","20 Apr 2007","","","","4672.20"
"NIFTY50 EQUAL WEIGHT","19 Apr 2007","","","","4595.50"
"NIFTY50 EQUAL WEIGHT","18 Apr 2007","","","","4612.50"
"NIFTY50 EQUAL WEIGHT","17 Apr 2007","","","","4587.20"
"NIFTY50 EQUAL WEIGHT","16 Apr 2007","","","","4608.90"
"NIFTY50 EQUAL WEIGHT","13 Apr 2007","","","","4510.40"
"NIFTY50 EQUAL WEIGHT","12 Apr 2007","","","","4424.50"
"NIFTY50 EQUAL WEIGHT","11 Apr 2007","","","","4468.40"
"NIFTY50 EQUAL WEIGHT","10 Apr 2007","","","","4453.70"
"NIFTY50 EQUAL WEIGHT","09 Apr 2007","","","","4432.50"
"NIFTY50 EQUAL WEIGHT","05 Apr 2007","","","","4339.90"
"NIFTY50 EQUAL WEIGHT","04 Apr 2007","","","","4300.00"
"NIFTY50 EQUAL WEIGHT","03 Apr 2007","","","","4251.30"
"NIFTY50 EQUAL WEIGHT","02 Apr 2007","","","","4190.00"
"NIFTY50 EQUAL WEIGHT","30 Mar 2007","","","","4389.00"
"NIFTY50 EQUAL WEIGHT","29 Mar 2007","","","","4353.60"
"NIFTY50 EQUAL WEIGHT","28 Mar 2007","","","","4314.50"
"NIFTY50 EQUAL WEIGHT","26 Mar 2007","","","","4370.60"
"NIFTY50 EQUAL WEIGHT","23 Mar 2007","","","","4414.10"
"NIFTY50 EQUAL WEIGHT","22 Mar 2007","","","","4441.10"
"NIFTY50 EQUAL WEIGHT","21 Mar 2007","","","","4333.00"
"NIFTY50 EQUAL WEIGHT","20 Mar 2007","","","","4277.80"
"NIFTY50 EQUAL WEIGHT","19 Mar 2007","","","","4226.40"
"NIFTY50 EQUAL WEIGHT","16 Mar 2007","","","","4164.10"
"NIFTY50 EQUAL WEIGHT","15 Mar 2007","","","","4202.00"
"NIFTY50 EQUAL WEIGHT","14 Mar 2007","","","","4199.60"
"NIFTY50 EQUAL WEIGHT","13 Mar 2007","","","","4317.90"
"NIFTY50 EQUAL WEIGHT","12 Mar 2007","","","","4276.60"
"NIFTY50 EQUAL WEIGHT","09 Mar 2007","","","","4258.90"
"NIFTY50 EQUAL WEIGHT","08 Mar 2007","","","","4310.70"
"NIFTY50 EQUAL WEIGHT","07 Mar 2007","","","","4160.10"
"NIFTY50 EQUAL WEIGHT","06 Mar 2007","","","","4192.90"
"NIFTY50 EQUAL WEIGHT","05 Mar 2007","","","","4122.90"
"NIFTY50 EQUAL WEIGHT","02 Mar 2007","","","","4304.00"
"NIFTY50 EQUAL WEIGHT","01 Mar 2007","","","","4373.80"
"NIFTY50 EQUAL WEIGHT","28 Feb 2007","","","","4337.80"
"NIFTY50 EQUAL WEIGHT","27 Feb 2007","","","","4504.50"
"NIFTY50 EQUAL WEIGHT","26 Feb 2007","","","","4558.00"
"NIFTY50 EQUAL WEIGHT","23 Feb 2007","","","","4533.50"
"NIFTY50 EQUAL WEIGHT","22 Feb 2007","","","","4653.00"
"NIFTY50 EQUAL WEIGHT","21 Feb 2007","","","","4751.40"
"NIFTY50 EQUAL WEIGHT","20 Feb 2007","","","","4755.60"
"NIFTY50 EQUAL WEIGHT","19 Feb 2007","","","","4814.40"
"NIFTY50 EQUAL WEIGHT","15 Feb 2007","","","","4800.70"
"NIFTY50 EQUAL WEIGHT","14 Feb 2007","","","","4699.80"
"NIFTY50 EQUAL WEIGHT","13 Feb 2007","","","","4709.20"
"NIFTY50 EQUAL WEIGHT","12 Feb 2007","","","","4747.10"
"NIFTY50 EQUAL WEIGHT","09 Feb 2007","","","","4906.80"
"NIFTY50 EQUAL WEIGHT","08 Feb 2007","","","","4949.30"
"NIFTY50 EQUAL WEIGHT","07 Feb 2007","","","","4957.50"
"NIFTY50 EQUAL WEIGHT","06 Feb 2007","","","","4921.10"
"NIFTY50 EQUAL WEIGHT","05 Feb 2007","","","","4937.20"
"NIFTY50 EQUAL WEIGHT","02 Feb 2007","","","","4906.80"
"NIFTY50 EQUAL WEIGHT","01 Feb 2007","","","","4857.10"
