"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","05 Sep 2017","-","-","-","14569.85"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","04 Sep 2017","-","-","-","14424.68"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","01 Sep 2017","-","-","-","14501.74"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","31 Aug 2017","-","-","-","14357.08"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","30 Aug 2017","-","-","-","14227.11"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","29 Aug 2017","-","-","-","14026.84"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","28 Aug 2017","-","-","-","14188.47"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","24 Aug 2017","-","-","-","13974.00"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","23 Aug 2017","-","-","-","13916.32"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","22 Aug 2017","-","-","-","13727.14"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","21 Aug 2017","-","-","-","13802.42"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","18 Aug 2017","-","-","-","14007.99"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","17 Aug 2017","-","-","-","14089.87"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","16 Aug 2017","-","-","-","13989.02"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","14 Aug 2017","-","-","-","13742.42"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","11 Aug 2017","-","-","-","13472.65"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","10 Aug 2017","-","-","-","13404.44"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","09 Aug 2017","-","-","-","13992.30"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","08 Aug 2017","-","-","-","14236.75"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","07 Aug 2017","-","-","-","14444.15"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","04 Aug 2017","-","-","-","14334.05"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","03 Aug 2017","-","-","-","14392.71"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","02 Aug 2017","-","-","-","14523.46"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","01 Aug 2017","-","-","-","14487.43"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","31 Jul 2017","-","-","-","14455.07"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","28 Jul 2017","-","-","-","14455.10"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","27 Jul 2017","-","-","-","14372.17"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","26 Jul 2017","-","-","-","14514.50"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","25 Jul 2017","-","-","-","14484.99"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","24 Jul 2017","-","-","-","14496.19"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","21 Jul 2017","-","-","-","14465.22"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","20 Jul 2017","-","-","-","14446.68"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","19 Jul 2017","-","-","-","14367.99"
