Index Name,Date,Open,High,Low,Close
NIFTY MIDCAP150 QUALITY 50,03 Nov 2023,18483.75,18567.1,18442.25,18555.75
NIFTY MIDCAP150 QUALITY 50,02 Nov 2023,18399.1,18441.9,18334.1,18372.85
NIFTY MIDCAP150 QUALITY 50,01 Nov 2023,18403.85,18418.55,18286.5,18305.75
NIFTY MIDCAP150 QUALITY 50,31 Oct 2023,18398,18412.4,18330.4,18354.0
NIFTY MIDCAP150 QUALITY 50,30 Oct 2023,18414.1,18426.85,18264.3,18338.95
NIFTY MIDCAP150 QUALITY 50,27 Oct 2023,18229.45,18412.9,18227.6,18384.65
NIFTY MIDCAP150 QUALITY 50,26 Oct 2023,18301.65,18316.5,17984.5,18143.7
NIFTY MIDCAP150 QUALITY 50,25 Oct 2023,18435.95,18497.75,18216.7,18379.25
NIFTY MIDCAP150 QUALITY 50,23 Oct 2023,18811.5,18845.8,18323,18380.25
NIFTY MIDCAP150 QUALITY 50,20 Oct 2023,18904.85,18938.1,18739.5,18787.95
NIFTY MIDCAP150 QUALITY 50,19 Oct 2023,18976.4,18982.65,18837.6,18929.45
NIFTY MIDCAP150 QUALITY 50,18 Oct 2023,19104.65,19151.35,18985.6,19033.7
NIFTY MIDCAP150 QUALITY 50,17 Oct 2023,19137.35,19144.65,19053.45,19094.45
NIFTY MIDCAP150 QUALITY 50,16 Oct 2023,18987.65,19073.5,18967.25,19016.0
NIFTY MIDCAP150 QUALITY 50,13 Oct 2023,18914,19023.3,18903.8,18956.65
NIFTY MIDCAP150 QUALITY 50,12 Oct 2023,18944.55,19026,18934.4,18974.0
NIFTY MIDCAP150 QUALITY 50,11 Oct 2023,18913.4,19026.6,18871.45,18887.7
NIFTY MIDCAP150 QUALITY 50,10 Oct 2023,18739.1,18853.25,18732.4,18835.9
NIFTY MIDCAP150 QUALITY 50,09 Oct 2023,18725,18825.15,18643,18688.95
NIFTY MIDCAP150 QUALITY 50,06 Oct 2023,18866.35,18882.75,18810.8,18863.25
NIFTY MIDCAP150 QUALITY 50,05 Oct 2023,18826.2,18881,18778.15,18795.6
NIFTY MIDCAP150 QUALITY 50,04 Oct 2023,18880.05,18892.5,18690.85,18771.5
NIFTY MIDCAP150 QUALITY 50,03 Oct 2023,18898.2,18946.25,18788.55,18902.6
NIFTY MIDCAP150 QUALITY 50,29 Sep 2023,18735.75,18951.55,18680.9,18869.8
NIFTY MIDCAP150 QUALITY 50,28 Sep 2023,18967.45,18974.8,18726,18744.05
NIFTY MIDCAP150 QUALITY 50,27 Sep 2023,18851.25,18935.3,18803.55,18926.2
NIFTY MIDCAP150 QUALITY 50,26 Sep 2023,18882.6,18891.55,18784.5,18815.9
NIFTY MIDCAP150 QUALITY 50,25 Sep 2023,18871.05,18891.65,18776.65,18863.8
NIFTY MIDCAP150 QUALITY 50,22 Sep 2023,18920,18941.8,18759.5,18845.35
NIFTY MIDCAP150 QUALITY 50,21 Sep 2023,19045.1,19052.75,18882.35,18909.4
NIFTY MIDCAP150 QUALITY 50,20 Sep 2023,19069.35,19112.15,18990.4,19063.0
NIFTY MIDCAP150 QUALITY 50,18 Sep 2023,19235.05,19247.95,19089.9,19105.95
NIFTY MIDCAP150 QUALITY 50,15 Sep 2023,19309.85,19339.5,19158.95,19187.7
NIFTY MIDCAP150 QUALITY 50,14 Sep 2023,19167.85,19251.15,19148.55,19230.75
NIFTY MIDCAP150 QUALITY 50,13 Sep 2023,19135.95,19159.15,18895,19086.85
NIFTY MIDCAP150 QUALITY 50,12 Sep 2023,19669.55,19672.7,19108.8,19140.25
NIFTY MIDCAP150 QUALITY 50,11 Sep 2023,19504.2,19596.05,19485.85,19579.5
NIFTY MIDCAP150 QUALITY 50,08 Sep 2023,19395.55,19455.7,19376,19441.1
NIFTY MIDCAP150 QUALITY 50,07 Sep 2023,19322.3,19371.05,19284.9,19356.75
NIFTY MIDCAP150 QUALITY 50,06 Sep 2023,19301.95,19326,19225.2,19298.9
NIFTY MIDCAP150 QUALITY 50,05 Sep 2023,19036,19252.65,19026.75,19236.0
NIFTY MIDCAP150 QUALITY 50,04 Sep 2023,19030.75,19041.55,18928.75,18980.75
NIFTY MIDCAP150 QUALITY 50,01 Sep 2023,18917.45,18945.05,18856.15,18931.0
NIFTY MIDCAP150 QUALITY 50,31 Aug 2023,18839,18917.25,18760.55,18842.2
NIFTY MIDCAP150 QUALITY 50,30 Aug 2023,18758.65,18801.5,18733.55,18771.3
